,feature,importance
689,COUNTY_SURRY,0.0
690,COUNTY_SUSQUEHANNA,0.0
691,COUNTY_SUSSEX,0.0
692,COUNTY_TAYLOR,0.0
693,COUNTY_TAZEWELL,0.0
694,COUNTY_TIOGA,0.0
695,COUNTY_TODD,0.0
696,COUNTY_TRIGG,0.0
697,COUNTY_TRIMBLE,0.0
698,COUNTY_TRUMBULL,0.0
699,COUNTY_TUCKER,0.0
700,COUNTY_TUSCARAWAS,0.0
701,COUNTY_TYLER,0.0
702,COUNTY_UNION,0.0
703,COUNTY_UPSHUR,0.0
704,COUNTY_VAN WERT,0.0
705,COUNTY_VENANGO,0.0
706,COUNTY_VINTON,0.0
707,COUNTY_VIRGINIA BEACH CITY,0.0
708,COUNTY_WARREN,0.0
709,COUNTY_WASHINGTON,0.0
710,COUNTY_WAYNE,0.0
711,COUNTY_WAYNESBORO CITY,0.0
712,COUNTY_WEBSTER,0.0
713,COUNTY_WESTMORELAND,0.0
714,COUNTY_WETZEL,0.0
715,COUNTY_WHITLEY,0.0
716,COUNTY_WILLIAMS,0.0
717,COUNTY_WILLIAMSBURG CITY,0.0
718,COUNTY_WINCHESTER CITY,0.0
719,COUNTY_WIRT,0.0
720,COUNTY_WISE,0.0
721,COUNTY_WOLFE,0.0
722,COUNTY_WOOD,0.0
723,COUNTY_WOODFORD,0.0
724,COUNTY_WYANDOT,0.0
725,COUNTY_WYOMING,0.0
726,COUNTY_WYTHE,0.0
727,COUNTY_YORK,0.0
728,HC03_VC140_0,0.0
729,HC03_VC140_1,0.0
730,HC03_VC140_2,0.0
731,HC03_VC140_4,0.0
732,HC03_VC140_6,0.0
733,HC03_VC140_7,0.0
734,HC03_VC140_10,0.0
735,HC03_VC140_11,0.0
736,HC03_VC140_12,0.0
737,HC03_VC140_13,0.0
738,HC03_VC140_15,0.0
739,HC03_VC140_16,0.0
740,HC03_VC140_17,0.0
741,HC03_VC140_19,0.0
742,HC03_VC140_20,0.0
743,HC03_VC140_21,0.0
744,HC03_VC140_22,0.0
745,HC03_VC140_24,0.0
746,HC03_VC140_26,0.0
747,HC03_VC140_28,0.0
748,HC03_VC140_29,0.0
749,HC03_VC140_30,0.0
750,HC03_VC140_31,0.0
751,HC03_VC140_33,0.0
752,HC03_VC140_34,0.0
753,HC03_VC140_35,0.0
754,HC03_VC140_36,0.0
755,HC03_VC140_37,0.0
756,HC03_VC140_38,0.0
757,HC03_VC140_40,0.0
758,HC03_VC140_41,0.0
759,HC03_VC140_42,0.0
760,HC03_VC140_43,0.0
761,HC03_VC140_44,0.0
762,HC03_VC140_45,0.0
763,HC03_VC140_46,0.0
764,HC03_VC140_47,0.0
765,HC03_VC140_48,0.0
766,HC03_VC140_49,0.0
767,HC03_VC140_50,0.0
768,HC03_VC140_51,0.0
769,HC03_VC140_52,0.0
770,HC03_VC140_53,0.0
771,HC03_VC140_54,0.0
772,HC03_VC140_55,0.0
773,HC03_VC140_56,0.0
774,HC03_VC140_57,0.0
775,HC03_VC140_58,0.0
776,HC03_VC140_59,0.0
777,HC03_VC140_60,0.0
778,HC03_VC140_61,0.0
779,HC03_VC140_62,0.0
780,HC03_VC140_63,0.0
781,HC03_VC140_64,0.0
782,HC03_VC140_65,0.0
783,HC03_VC140_66,0.0
784,HC03_VC140_67,0.0
785,HC03_VC140_68,0.0
786,HC03_VC140_69,0.0
787,HC03_VC140_70,0.0
788,HC03_VC140_71,0.0
789,HC03_VC140_72,0.0
790,HC03_VC140_74,0.0
791,HC03_VC140_75,0.0
792,HC03_VC140_76,0.0
793,HC03_VC140_79,0.0
794,HC03_VC140_80,0.0
795,HC03_VC140_81,0.0
796,HC03_VC140_82,0.0
797,HC03_VC140_88,0.0
798,HC03_VC140_89,0.0
799,HC03_VC140_90,0.0
800,HC03_VC140_92,0.0
801,HC03_VC140_93,0.0
802,HC03_VC140_95,0.0
803,HC03_VC140_96,0.0
804,HC03_VC140_98,0.0
805,HC03_VC140_99,0.0
806,HC03_VC140_100,0.0
807,HC03_VC140_101,0.0
808,HC03_VC140_103,0.0
809,HC03_VC140_104,0.0
810,HC03_VC140_105,0.0
811,HC03_VC140_109,0.0
812,HC03_VC140_110,0.0
813,HC03_VC140_111,0.0
814,HC03_VC140_113,0.0
815,HC03_VC140_117,0.0
816,HC03_VC140_118,0.0
817,HC03_VC140_119,0.0
818,HC03_VC140_121,0.0
819,HC03_VC140_122,0.0
