feature,importance
COUNTY_LEWIS,0.0
COUNTY_LICKING,0.0001344404311460035
COUNTY_LINCOLN,0.0
COUNTY_LIVINGSTON,0.0
COUNTY_LOGAN,0.0
COUNTY_LORAIN,0.0
COUNTY_LOUDOUN,0.0
COUNTY_LOUISA,0.0
COUNTY_LUCAS,0.0
COUNTY_LUNENBURG,3.91815762866418e-08
COUNTY_LUZERNE,0.0
COUNTY_LYCOMING,0.0
COUNTY_LYON,0.0
COUNTY_MADISON,0.0
COUNTY_MAGOFFIN,0.0
COUNTY_MAHONING,0.0
COUNTY_MANASSAS CITY,4.7282470029679004e-09
COUNTY_MARION,0.0
COUNTY_MARSHALL,0.0
COUNTY_MARTIN,0.0
COUNTY_MARTINSVILLE CITY,0.0
COUNTY_MASON,4.691522893404953e-09
COUNTY_MATHEWS,0.0
COUNTY_MCCRACKEN,0.0
COUNTY_MCCREARY,0.0
COUNTY_MCDOWELL,0.0
COUNTY_MCKEAN,0.0
COUNTY_MCLEAN,0.0
COUNTY_MEADE,0.0
COUNTY_MECKLENBURG,0.0
COUNTY_MEDINA,0.0
COUNTY_MEIGS,0.0
COUNTY_MENIFEE,0.0
COUNTY_MERCER,0.0
COUNTY_METCALFE,0.0
COUNTY_MIAMI,0.0
COUNTY_MIDDLESEX,0.0
COUNTY_MIFFLIN,0.0
COUNTY_MINERAL,0.0
COUNTY_MINGO,0.0
COUNTY_MONONGALIA,0.0
COUNTY_MONROE,0.0
COUNTY_MONTGOMERY,0.0
COUNTY_MONTOUR,0.0
COUNTY_MORGAN,8.097258112966131e-08
COUNTY_MORROW,0.0
COUNTY_MUHLENBERG,0.0
COUNTY_MUSKINGUM,0.0
COUNTY_NELSON,0.0
COUNTY_NEW KENT,0.0
COUNTY_NEWPORT NEWS CITY,0.0
COUNTY_NICHOLAS,0.0
COUNTY_NOBLE,0.0
COUNTY_NORFOLK CITY,0.0
COUNTY_NORTHAMPTON,0.0
COUNTY_NORTHUMBERLAND,0.0
COUNTY_NOTTOWAY,0.0
COUNTY_OHIO,0.0
COUNTY_OLDHAM,0.0
COUNTY_ORANGE,0.0
COUNTY_OTTAWA,0.0
COUNTY_OWEN,0.0
COUNTY_OWSLEY,0.0
COUNTY_PAGE,0.0
COUNTY_PATRICK,0.0
COUNTY_PAULDING,0.0
COUNTY_PENDLETON,0.0
COUNTY_PERRY,1.3991273612361036e-06
COUNTY_PHILADELPHIA,0.0
